"Variavel","Media_PLA","DP_PLA","n_PLA","Media_SUPL","DP_SUPL","n_SUPL","t","df","p"
"Idade (anos)",33.5,7.5901983578238,10,32.2222222222222,4.63081466314993,9,0.447755631721022,15.0817695802126,0.660694056859449
"Massa corporal (kg)",64.128,9.71058162807746,10,70.2244444444444,15.2605398914251,9,-1.02601838030786,13.3205910497963,0.323155062514335
"Estatura (cm)",167.7,7.36432843736164,10,169.111111111111,9.40005910146905,9,-0.361452420992684,15.1658849249932,0.722747434619115
"Gordura corporal (%)",14.86,4.19608282939113,10,14.1333333333333,8.34475883414254,9,0.235787447160689,11.5247997075217,0.817735499797507
"VO2max (mlO2.kg.min)",45.724,5.99054848165935,10,43.9888888888889,5.89587025901275,9,0.635651490623841,16.8456477779473,0.533544521618462
